HASHTAG,ANNOTATION 1,ANNOTATION 2,ANNOTATION 3,FINAL
#iheartawards9,EVENT,EVENT,EVENT,EVENT
#iheartawards7,EVENT,EVENT,EVENT,EVENT
#iheartawards6,RANDOM,EVENT,EVENT,EVENT
#iheartawards12,RANDOM,EVENT,EVENT,EVENT
#iheartawards11,RANDOM,EVENT,EVENT,EVENT
#iheartawards10,EVENT,EVENT,EVENT,EVENT
#iheartawards1,EVENT,EVENT,EVENT,EVENT
#hyderabad9,RANDOM,EVENT,EVENT,EVENT
#hyderabad8,RANDOM,EVENT,EVENT,EVENT
#hyderabad7,RANDOM,EVENT,EVENT,EVENT
#hyderabad6,RANDOM,EVENT,EVENT,EVENT
#hyderabad5,EVENT,EVENT,EVENT,EVENT
#hyderabad4,RANDOM,EVENT,EVENT,EVENT
#hyderabad3,RANDOM,EVENT,EVENT,EVENT
#hyderabad2,RANDOM,EVENT,EVENT,EVENT
#hyderabad13,RANDOM,EVENT,EVENT,EVENT
#hyderabad12,RANDOM,EVENT,EVENT,EVENT
#hyderabad11,RANDOM,RANDOM,EVENT,RANDOM
#hyderabad10,RANDOM,RANDOM,EVENT,RANDOM
#hyderabad1,RANDOM,EVENT,EVENT,EVENT
#favpinoynewbieinigo2,EVENT,EVENT,EVENT,EVENT
#exol6,EVENT,EVENT,EVENT,EVENT
#exol4,EVENT,EVENT,EVENT,EVENT
#exol2,EVENT,EVENT,EVENT,EVENT
#endorphins9,RANDOM,RANDOM,EVENT,RANDOM
#endorphins8,RANDOM,RANDOM,EVENT,RANDOM
#endorphins7,RANDOM,RANDOM,EVENT,RANDOM
#endorphins6,RANDOM,RANDOM,EVENT,RANDOM
#endorphins5,RANDOM,RANDOM,EVENT,RANDOM
#endorphins4,EVENT,RANDOM,EVENT,EVENT
#endorphins3,EVENT,RANDOM,EVENT,EVENT
#endorphins2,RANDOM,RANDOM,EVENT,RANDOM
#endorphins10,EVENT,RANDOM,EVENT,EVENT
#endorphins1,RANDOM,RANDOM,EVENT,RANDOM
#endomondo9,EVENT,RANDOM,EVENT,EVENT
#endomondo8,RANDOM,RANDOM,EVENT,RANDOM
#endomondo7,RANDOM,RANDOM,EVENT,RANDOM
#endomondo6,RANDOM,RANDOM,EVENT,RANDOM
#endomondo5,RANDOM,RANDOM,EVENT,RANDOM
#endomondo4,EVENT,RANDOM,EVENT,EVENT
#endomondo3,RANDOM,RANDOM,EVENT,RANDOM
#endomondo2,RANDOM,RANDOM,EVENT,RANDOM
#endomondo11,RANDOM,RANDOM,EVENT,RANDOM
#endomondo10,RANDOM,RANDOM,EVENT,RANDOM
#endomondo1,RANDOM,RANDOM,EVENT,RANDOM
#dubai9,RANDOM,RANDOM,RANDOM,RANDOM
#dubai8,RANDOM,RANDOM,RANDOM,RANDOM
#dubai7,RANDOM,RANDOM,RANDOM,RANDOM
#dubai6,RANDOM,RANDOM,RANDOM,RANDOM
#dubai5,RANDOM,RANDOM,RANDOM,RANDOM
#dubai4,RANDOM,RANDOM,RANDOM,RANDOM
#dubai3,RANDOM,RANDOM,RANDOM,RANDOM
#dubai2,RANDOM,RANDOM,RANDOM,RANDOM
#dubai11,RANDOM,RANDOM,RANDOM,RANDOM
#dubai10,RANDOM,RANDOM,RANDOM,RANDOM
#dubai1,RANDOM,RANDOM,RANDOM,RANDOM
#chennai9,RANDOM,RANDOM,EVENT,RANDOM
#chennai8,RANDOM,RANDOM,EVENT,RANDOM
#chennai7,RANDOM,RANDOM,EVENT,RANDOM
#chennai6,EVENT,RANDOM,EVENT,EVENT
#chennai5,RANDOM,EVENT,RANDOM,RANDOM
#chennai4,EVENT,RANDOM,EVENT,EVENT
#chennai3,RANDOM,RANDOM,EVENT,RANDOM
#chennai2,EVENT,EVENT,EVENT,EVENT
#chennai12,RANDOM,EVENT,EVENT,EVENT
#chennai11,RANDOM,EVENT,EVENT,EVENT
#chennai10,RANDOM,EVENT,EVENT,EVENT
#chennai1,EVENT,EVENT,EVENT,EVENT
#btsarmy9,EVENT,EVENT,EVENT,EVENT
#btsarmy8,EVENT,RANDOM,EVENT,EVENT
#bts9,EVENT,EVENT,EVENT,EVENT
#bts8,EVENT,EVENT,EVENT,EVENT
#bts4,EVENT,EVENT,EVENT,EVENT
#bts1,EVENT,EVENT,EVENT,EVENT
#bestfanarmy8,EVENT,EVENT,EVENT,EVENT
#bestfanarmy7,RANDOM,EVENT,EVENT,EVENT
#bestfanarmy12,RANDOM,EVENT,RANDOM,RANDOM
#bestfanarmy11,RANDOM,EVENT,EVENT,EVENT
#bestfanarmy10,RANDOM,EVENT,EVENT,EVENT
#bangkok9,RANDOM,EVENT,RANDOM,RANDOM
#bangkok8,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok7,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok6,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok5,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok4,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok3,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok12,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok11,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok10,RANDOM,RANDOM,RANDOM,RANDOM
#bangkok1,RANDOM,RANDOM,RANDOM,RANDOM
